Batch Number: 1,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,Batch Time,C1-1,C1-2,C1-3,C2-2,C3-3,,,,,
Agent:,Idle:,Busy:,,,,,,48000,0.1541026,0.5758856,0.0182538,0.1927188,1.868552,0.122015,0.569391,0,0,1.97894
Inspector1,0,0.998207,,,,,,48500,0.1564098,0.5764054,0.023798,0.2374638,1.8777352,0.167071,0.48733,0.048143,0,1.745438
Inspector2,0.523356,0.474851,,,,,,49000,0.1431095,0.4790975,0.02139975,0.11500975,1.86129825,0.143181,0.35225,0.00183,0.009996,1.97955
Worker1,0.592878,0.405328,,,,,,49500,0.150141,0.448999667,0.028533,0.153346333,1.822084333,0.140171,0.507419,0.035626,0.450043,1.741265
Worker2,0.821946,0.17626,,,,,,,,,,,,,,,,
Worker3,0.889025,0.109181,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.160971,,,,,,,,,,,,,,,,,
C1-2,0.045024,,,,,,,,,,,,,,,,,
C1-3,0.069195,,,,,,,,,,,,,,,,,
C2-2,1.586929,,,,,,,,,,,,,,,,,
C3-3,1.732378,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 6,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.683673,#NAME?,0.683673,#NAME?,,,,,,,,,,,,
Component1,47,0.093971,1.848359,20.574479,1.848359,1.933402,,,,,,,,,,,,
Component2,5,0.009997,1.015551,101.586576,1.015551,1.015551,,,,,,,,,,,,
Component3,4,0.007998,1.359043,41.797695,1.359043,0.334278,,,,,,,,,,,,
Part1,40,0.079975,0.327336,4.09297,0.327336,0.327336,,,,,,,,,,,,
Part2,5,0.009997,0.227063,22.713352,0.227063,0.227063,,,,,,,,,,,,
Part3,2,0.003999,0.12514,31.294639,0.12514,0.12514,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.999993,,,,,,,,,,,,,,,,
Inspector2,0.284757,0.715236,,,,,,,,,,,,,,,,
Worker1,0.682142,0.317852,,,,,,,,,,,,,,,,
Worker2,0.77293,0.227063,,,,,,,,,,,,,,,,
Worker3,0.824873,0.17512,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.087121,,,,,,,,,,,,,,,,,
C1-2,0.666393,,,,,,,,,,,,,,,,,
C1-3,0.180107,,,,,,,,,,,,,,,,,
C2-2,0.660765,,,,,,,,,,,,,,,,,
C3-3,1.036669,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 7,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.490078,#NAME?,0.490078,#NAME?,,,,,,,,,,,,
Component1,49,0.097821,1.356283,15.29491,1.356283,1.49617,,,,,,,,,,,,
Component2,1,0.001996,0.100663,50.423581,0.100663,0.100663,,,,,,,,,,,,
Component3,3,0.005989,2.229818,276.817538,2.229818,1.657879,,,,,,,,,,,,
Part1,46,0.091832,0.462435,5.035644,0.462435,0.462435,,,,,,,,,,,,
Part2,1,0.001996,0.064425,32.271092,0.064425,0.064425,,,,,,,,,,,,
Part3,3,0.005989,0.073926,12.343562,0.073926,0.073926,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.999691,,,,,,,,,,,,,,,,
Inspector2,0.583629,0.416062,,,,,,,,,,,,,,,,
Worker1,0.527786,0.471905,,,,,,,,,,,,,,,,
Worker2,0.935266,0.064425,,,,,,,,,,,,,,,,
Worker3,0.925765,0.073926,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.115704,,,,,,,,,,,,,,,,,
C1-2,0.363633,,,,,,,,,,,,,,,,,
C1-3,0,,,,,,,,,,,,,,,,,
C2-2,0,,,,,,,,,,,,,,,,,
C3-3,1.91442,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 8,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.578427,#NAME?,0.578427,#NAME?,,,,,,,,,,,,
Component1,45,0.088369,1.922726,12.945651,1.922726,1.143989,,,,,,,,,,,,
Component2,0,0,0,#NAME?,0,#NAME?,,,,,,,,,,,,
Component3,2,0.003927,2.176467,736.714449,2.176467,2.893441,,,,,,,,,,,,
Part1,42,0.082477,0.422806,5.126326,0.422806,0.422806,,,,,,,,,,,,
Part2,0,0,0,#NAME?,0,#NAME?,,,,,,,,,,,,
Part3,2,0.003927,0.076802,19.555082,0.076802,0.076802,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.998208,,,,,,,,,,,,,,,,
Inspector2,0.747684,0.250524,,,,,,,,,,,,,,,,
Worker1,0.575402,0.422806,,,,,,,,,,,,,,,,
Worker2,0.998208,0,,,,,,,,,,,,,,,,
Worker3,0.921405,0.076802,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.095797,,,,,,,,,,,,,,,,,
C1-2,0.874534,,,,,,,,,,,,,,,,,
C1-3,0.049985,,,,,,,,,,,,,,,,,
C2-2,0,,,,,,,,,,,,,,,,,
C3-3,1.925943,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 9,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.609286,#NAME?,0.609286,#NAME?,,,,,,,,,,,,
Component1,49,0.097435,1.87655,29.578245,1.87655,2.881963,,,,,,,,,,,,
Component2,2,0.003977,0.135349,34.033441,0.135349,0.135349,,,,,,,,,,,,
Component3,4,0.007954,1.926194,330.057504,1.926194,2.625243,,,,,,,,,,,,
Part1,44,0.087493,0.371266,4.243387,0.371266,0.371266,,,,,,,,,,,,
Part2,1,0.001988,0.024487,12.314494,0.024487,0.024487,,,,,,,,,,,,
Part3,5,0.009942,0.217122,21.838084,0.217122,0.217122,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.981645,,,,,,,,,,,,,,,,
Inspector2,0.643844,0.337801,,,,,,,,,,,,,,,,
Worker1,0.610379,0.371266,,,,,,,,,,,,,,,,
Worker2,0.957158,0.024487,,,,,,,,,,,,,,,,
Worker3,0.764523,0.217122,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.119867,,,,,,,,,,,,,,,,,
C1-2,0.814641,,,,,,,,,,,,,,,,,
C1-3,0.080263,,,,,,,,,,,,,,,,,
C2-2,0,,,,,,,,,,,,,,,,,
C3-3,1.648035,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 10,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.599862,#NAME?,0.599862,#NAME?,,,,,,,,,,,,
Component1,48,0.090534,1.395278,12.16195,1.395278,1.101065,,,,,,,,,,,,
Component2,3,0.005658,0.620369,109.637891,0.620369,0.620369,,,,,,,,,,,,
Component3,1,0.001886,2.03572,24.734831,2.03572,0.046653,,,,,,,,,,,,
Part1,43,0.081103,0.387936,4.783254,0.387936,0.387936,,,,,,,,,,,,
Part2,4,0.007544,0.178658,23.680632,0.178658,0.178658,,,,,,,,,,,,
Part3,0,0,0,#NAME?,0,#NAME?,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.994534,,,,,,,,,,,,,,,,
Inspector2,0.689008,0.305525,,,,,,,,,,,,,,,,
Worker1,0.606597,0.387936,,,,,,,,,,,,,,,,
Worker2,0.815876,0.178658,,,,,,,,,,,,,,,,
Worker3,0.994534,0,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.096241,,,,,,,,,,,,,,,,,
C1-2,0.400744,,,,,,,,,,,,,,,,,
C1-3,0,,,,,,,,,,,,,,,,,
C2-2,0.433307,,,,,,,,,,,,,,,,,
C3-3,1.989067,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 11,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.535523,#NAME?,0.535523,#NAME?,,,,,,,,,,,,
Component1,42,0.083753,1.879595,11.351761,1.879595,0.950743,,,,,,,,,,,,
Component2,0,0,0,#NAME?,0,#NAME?,,,,,,,,,,,,
Component3,1,0.001994,1.99923,663.929837,1.99923,1.323953,,,,,,,,,,,,
Part1,41,0.081759,0.387313,4.737262,0.387313,0.387313,,,,,,,,,,,,
Part2,0,0,0,#NAME?,0,#NAME?,,,,,,,,,,,,
Part3,1,0.001994,0.010379,5.204577,0.010379,0.010379,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.939798,,,,,,,,,,,,,,,,
Inspector2,0.820163,0.119635,,,,,,,,,,,,,,,,
Worker1,0.552485,0.387313,,,,,,,,,,,,,,,,
Worker2,0.939798,0,,,,,,,,,,,,,,,,
Worker3,0.929419,0.010379,,,,,,,,,,,,,,,,
Queue:,Ocupancy:,,,,,,,,,,,,,,,,,
C1-1,0.010945,,,,,,,,,,,,,,,,,
C1-2,0.939798,,,,,,,,,,,,,,,,,
C1-3,0,,,,,,,,,,,,,,,,,
C2-2,0,,,,,,,,,,,,,,,,,
C3-3,1.879595,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Batch Number: 12,,,,,,,,,,,,,,,,,,
Entity:,Num_Produced:,Arrival_Rate:,Items_In_System,Ave_Time_In_System:,Littles_Left:,Littles_Right:,,,,,,,,,,,,
Ignore,0,0,0.518328,#NAME?,0.518328,#NAME?,,,,,,,,,,,,
Component1,53,0.103436,1.916641,33.810006,1.916641,3.49718,,,,,,,,,,,,
Component2,2,0.003903,0.183258,27.881071,0.183258,0.108827,,,,,,,,,,,,
Component3,8,0.015613,2.208628,318.263156,2.208628,4.969049,,,,,,,,,,,,
Part1,45,0.087823,0.423247,4.819303,0.423247,0.423247,,,,,,,,,,,,
Part2,1,0.001952,0.05807,29.754553,0.05807,0.05807,,,,,,,,,,,,
Part3,8,0.015613,0.279325,17.890536,0.279325,0.279325,,,,,,,,,,,,
Agent:,Idle:,Busy:,,,,,,,,,,,,,,,,
Inspector1,0,0.997121,,,,,,,,,,,,,,,,
